date,symbol,name,market,open,high,low,close,change,change_pct,volume,turnover,transactions,source,security_type,is_common_stock,is_etf,is_warrant,is_bond_etf,is_leveraged_inverse,is_etn,is_preferred_stock,is_dr,scan_eligible,exclude_reason
2026-07-30,1103,嘉泥,listed,13.35,13.35,13.15,13.15,-0.05,-0.3788,528202,6982860,273,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1104,環泥,listed,26.8,27.25,26.6,27.2,0.35,1.3035,1158673,31336177,713,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1108,幸福,listed,12.0,12.05,11.85,11.85,-0.1,-0.8368,355985,4261798,180,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1109,信大,listed,13.9,13.9,13.7,13.8,-0.05,-0.361,129806,1787010,131,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1110,東泥,listed,16.1,16.15,15.9,16.1,0.05,0.3115,275378,4421663,122,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1201,味全,listed,12.35,12.4,12.2,12.4,0.15,1.2245,410012,5045027,309,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1203,味王,listed,50.8,50.8,48.95,48.95,-1.0,-2.002,68203,3399214,91,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1210,大成,listed,57.7,57.8,57.0,57.4,0.2,0.3497,1285915,73845351,943,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1213,大飲,listed,7.11,7.11,7.1,7.11,0.0,0.0,5000,35540,5,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1215,卜蜂,listed,106.5,108.0,105.5,107.0,0.5,0.4695,485597,51970363,771,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1216,統一,listed,76.8,76.8,73.7,75.6,0.0,0.0,37472807,2801299842,14806,TWSE,etf,false,true,false,false,false,false,false,false,false,security_type=etf
2026-07-30,1217,愛之味,listed,9.99,10.0,9.93,9.94,-0.04,-0.4008,494205,4922827,435,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1218,泰山,listed,16.05,16.3,16.0,16.25,0.25,1.5625,1308129,21150744,591,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1219,福壽,listed,11.65,11.7,11.55,11.65,0.0,0.0,514171,5986459,215,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1220,台榮,listed,11.25,11.25,11.15,11.2,-0.05,-0.4444,44582,498315,134,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1225,福懋油,listed,27.3,27.3,26.2,26.25,-0.95,-3.4926,467786,12421428,306,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1227,佳格,listed,30.0,30.1,29.75,29.95,0.15,0.5034,1752198,52489293,934,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1229,聯華,listed,41.0,41.2,40.25,40.45,-0.45,-1.1002,1544744,62887623,1551,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1231,聯華食,listed,81.0,83.9,80.4,82.0,0.0,0.0,994200,81909524,1613,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1232,大統益,listed,158.0,158.0,153.5,156.0,-0.5,-0.3195,283657,43993355,376,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1233,天仁,listed,29.0,29.0,28.8,28.95,0.0,0.0,21000,607300,12,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1234,黑松,listed,34.45,34.45,33.9,34.15,0.05,0.1466,140198,4787412,171,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1235,興泰,listed,37.45,37.45,36.75,37.0,-0.4,-1.0695,14532,537993,21,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1236,宏亞,listed,24.1,24.1,23.35,23.85,0.0,0.0,49657,1176063,86,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1256,鮮活果汁-KY,listed,175.5,176.5,172.0,173.5,-0.5,-0.2874,26421,4594998,79,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1301,台塑,listed,55.6,56.1,53.5,54.0,-2.2,-3.9146,38478943,2112418331,16989,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1303,南亞,listed,135.5,155.5,135.5,145.0,3.5,2.4735,140138555,20776545603,66857,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1304,台聚,listed,11.45,11.45,11.0,11.05,-0.25,-2.2124,4139944,46328717,1509,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1305,華夏,listed,11.1,11.1,10.7,10.8,-0.15,-1.3699,2246957,24401475,1275,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1307,三芳,listed,30.7,30.9,30.3,30.65,0.0,0.0,629564,19279779,341,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1308,亞聚,listed,12.6,12.7,12.4,12.45,-0.2,-1.581,2214497,27847291,843,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1309,台達化,listed,12.85,12.85,12.15,12.15,-0.45,-3.5714,2315909,28658889,1203,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1310,台苯,listed,7.33,7.38,7.04,7.06,-0.4,-5.3619,12683105,90370219,4854,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1312,國喬,listed,10.95,11.25,10.8,10.9,-0.2,-1.8018,7450038,81863266,2575,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1312A,國喬特,listed,20.75,20.75,20.75,20.75,-0.05,-0.2404,2000,41500,1,TWSE,warrant,false,false,true,false,false,false,false,false,false,security_type=warrant;symbol_not_4_digit
2026-07-30,1313,聯成,listed,10.75,10.75,10.2,10.25,-0.35,-3.3019,4817242,50188708,1791,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1314,中石化,listed,7.53,7.58,7.35,7.37,-0.14,-1.8642,25381487,189280280,6089,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1315,達新,listed,63.4,63.4,62.8,63.4,0.4,0.6349,26347,1661565,27,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1316,上曜,listed,9.62,9.76,9.56,9.68,0.08,0.8333,1008524,9743059,500,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1319,東陽,listed,70.6,71.9,70.0,71.4,0.9,1.2766,3283516,232393102,2249,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1321,大洋,listed,32.35,32.35,31.85,32.15,0.0,0.0,141722,4548253,113,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1323,永裕,listed,19.8,19.95,19.6,19.65,-0.25,-1.2563,27258,539500,79,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1324,地球,listed,10.0,10.1,9.94,9.94,-0.06,-0.6,79392,792686,114,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1325,恆大,listed,26.25,26.5,25.7,25.7,-0.8,-3.0189,402280,10473745,329,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1326,台化,listed,59.5,59.8,55.8,56.4,-2.1,-3.5897,44369647,2573442969,22955,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
2026-07-30,1337,再生-KY,listed,4.56,4.6,4.52,4.55,-0.01,-0.2193,290265,1324273,269,TWSE,common_stock,true,false,false,false,false,false,false,false,true,
