date,symbol,name,market,foreign_buy,foreign_sell,foreign_net_buy,investment_trust_buy,investment_trust_sell,investment_trust_net_buy,dealer_buy,dealer_sell,dealer_net_buy,institutional_net_buy,source
2026-09-04,8299,群聯,otc,1177091,1054951,122140,1600,24000,-22400,184467,127567,56900,156640,TPEx
2026-09-04,8349,恒耀,otc,15000,2000,13000,0,0,0,0,0,0,13000,TPEx
2026-09-04,8354,冠好,otc,3000,8000,-5000,0,0,0,399,1000,-601,-5601,TPEx
2026-09-04,8358,金居,otc,1171574,263485,908089,20000,40000,-20000,24999,366793,-341794,546295,TPEx
2026-09-04,8383,千附,otc,341850,197000,144850,0,0,0,19438,4421,15017,159867,TPEx
2026-09-04,8390,金益鼎,otc,96000,176000,-80000,0,0,0,4000,6916,-2916,-82916,TPEx
2026-09-04,8401,白紗科,otc,0,0,0,0,0,0,16,0,16,16,TPEx
2026-09-04,8403,盛弘,otc,0,13000,-13000,0,0,0,0,0,0,-13000,TPEx
2026-09-04,8410,森田,otc,1000,2000,-1000,0,0,0,0,0,0,-1000,TPEx
2026-09-04,8415,大國鋼,otc,116693,189652,-72959,34000,0,34000,100000,0,100000,61041,TPEx
2026-09-04,8421,旭源,otc,4000,45000,-41000,0,0,0,1000,1166,-166,-41166,TPEx
2026-09-04,8424,惠普,otc,0,1000,-1000,0,0,0,0,0,0,-1000,TPEx
2026-09-04,8426,紅木-KY,otc,23000,2000,21000,0,0,0,0,0,0,21000,TPEx
2026-09-04,8431,匯鑽科,otc,2934483,2224281,710202,0,0,0,120364,15914,104450,814652,TPEx
2026-09-04,8432,東生華,otc,27000,2000,25000,0,0,0,1000,200,800,25800,TPEx
2026-09-04,8433,弘帆,otc,0,1000,-1000,0,0,0,0,0,0,-1000,TPEx
2026-09-04,8436,大江,otc,356050,504000,-147950,0,93323,-93323,32000,23716,8284,-232989,TPEx
2026-09-04,8440,綠電,otc,5000,3000,2000,0,0,0,1527,1000,527,2527,TPEx
2026-09-04,8446,華研,otc,11000,7000,4000,0,0,0,0,289,-289,3711,TPEx
2026-09-04,8450,霹靂,otc,0,0,0,0,0,0,1000,523,477,477,TPEx
2026-09-04,8472,夠麻吉,otc,1000,1000,0,0,0,0,0,0,0,0,TPEx
2026-09-04,8477,創業家,otc,0,1000,-1000,0,0,0,0,0,0,-1000,TPEx
