date,time,symbol,name,market,title,category,summary,url,source
2026-06-01,16:28,3168,眾福科,,公告本公司董事長訂定除息基準日,其他,,,MOPSOV:t05st01
2026-06-01,16:28,6425,易發,,更正本公司股東會決議股利分派情形之現金(股利)總金額(元),股利,,,MOPSOV:t05st01
2026-06-01,16:29,2603,長榮,,公告本公司訂定配息基準日及現金股利發放日,股利,,,MOPSOV:t05st01
2026-06-01,16:29,6425,易發,,公告本公司決議除息基準日及發放日,其他,,,MOPSOV:t05st01
2026-06-01,16:31,4527,方方土霖,,公告本公司法人董事代表人異動,其他,,,MOPSOV:t05st01
2026-06-01,16:36,6442,光聖,,本公司國內第二次無擔保轉換公司債行使債券贖回權， 申請轉換為普通股最後期限為115年06月15日，為確保本債 券持有人權益，特此催告。,其他,,,MOPSOV:t05st01
2026-06-01,16:39,8045,達運光電,,公告本公司115年股東常會重要決議事項,其他,,,MOPSOV:t05st01
2026-06-01,16:40,1104,環泥,,本公司決定115年現金股利配發基準日,股利,,,MOPSOV:t05st01
2026-06-01,16:41,2505,國揚,,公告本公司發言人及代理發言人異動,其他,,,MOPSOV:t05st01
2026-06-01,16:41,7909,鈺祥,,公告本公司董事長變更訂定除息基準日相關事宜,其他,,,MOPSOV:t05st01
2026-06-01,16:45,3284,太普高,,代重要子公司上嘉行銷股份有限公司公告董事(代行股東會 職權)重要決議事項,其他,,,MOPSOV:t05st01
2026-06-01,16:45,3284,太普高,,代重要子公司上嘉行銷股份有限公司公告董事 決議114年度盈餘分配案。,其他,,,MOPSOV:t05st01
2026-06-01,16:45,3284,太普高,,代重要子公司上嘉行銷股份有限公司公告董事決議 盈餘轉增資發行新股,增資,,,MOPSOV:t05st01
2026-06-01,16:46,2409,友達,,代重要子公司 AUO SINGAPORE PTE. LTD.公告 董事會決議召開股東會,董事會,,,MOPSOV:t05st01
2026-06-01,16:47,2409,友達,,代重要子公司 AUO SINGAPORE PTE. LTD.公告 股東會重要決議事項,其他,,,MOPSOV:t05st01
2026-06-01,16:48,2409,友達,,代重要子公司 AUO (L) Corp.公告 董事會決議召開股東會,董事會,,,MOPSOV:t05st01
2026-06-01,16:48,5215,科嘉-KY,,代子公司蘇州嘉吉/科德/嘉財/艾普來/百宏/嘉皇/嘉駿 公告一年內累積處分同一有價證券達實收資本額20%,其他,,,MOPSOV:t05st01
2026-06-01,16:48,2409,友達,,代重要子公司 AUO (L) Corp.公告 股東會重要決議事項,其他,,,MOPSOV:t05st01
2026-06-01,16:48,5215,科嘉-KY,,代子公司蘇州嘉吉/科德/嘉財/艾普來/百宏/嘉皇/嘉駿 公告一年內累積取得同一有價證券達實收資本額20%,其他,,,MOPSOV:t05st01
